job_id,title,company,location,date_posted,salary_text,description
1,Data Engineer,ABC Tech,Tampines,2026-04-11,SGD 4200-5200,"Python, SQL, Airflow, dbt"
2,Business Analyst,DataWorks,Tampines,2026-04-04,SGD 5500-7000,"Airflow, Python, ETL, PostgreSQL"
3,Data Scientist,ABC Tech,Singapore,2026-04-10,SGD 3800-4800,"Python, SQL, Airflow, dbt"
4,Data Analyst,Metric Labs,Tampines,2026-04-04,SGD 5500-7000,"Power BI, Excel, SQL"
5,Reporting Analyst,Vision Analytics,CBD,2026-04-04,SGD 6000-8000,"SQL, Python, Tableau required"
6,Business Analyst,ByteBridge,Hybrid,2026-04-13,SGD 4200-5200,"Excel, SQL, dashboarding"
7,Machine Learning Engineer,DataWorks,Singapore,2026-04-04,SGD 4500-5500,"Airflow, Python, ETL, PostgreSQL"
8,Machine Learning Engineer,Vision Analytics,CBD,2026-04-06,SGD 3800-4800,"ETL, data warehousing, Airflow"
9,Data Engineer,ByteBridge,Singapore,2026-04-09,SGD 5000-6500,"Tableau, Excel, SQL"
10,Machine Learning Engineer,Metric Labs,Tampines,2026-04-14,SGD 3800-4800,"SQL, Python, Tableau required"
11,Analytics Engineer,Vision Analytics,Singapore,2026-04-11,SGD 6000-8000,"Python, SQL, Airflow, dbt"
12,Data Engineer,ByteBridge,Hybrid,2026-04-14,SGD 4500-5500,"Python, machine learning, SQL"
13,Machine Learning Engineer,CloudNova,Remote,2026-04-03,SGD 5500-7000,"Tableau, Excel, SQL"
14,Data Engineer,Insight Pte Ltd,One-North,2026-04-12,SGD 5500-7000,"Python, SQL, Airflow, dbt"
15,Reporting Analyst,ByteBridge,Hybrid,2026-04-03,SGD 5500-7000,"Python, SQL, Airflow, dbt"
16,Machine Learning Engineer,ABC Tech,Remote,2026-04-11,SGD 6000-8000,"SQL, Python, Tableau required"
17,Machine Learning Engineer,ByteBridge,Hybrid,2026-04-13,SGD 3800-4800,"Python, SQL, Airflow, dbt"
18,Machine Learning Engineer,Metric Labs,Tampines,2026-04-15,SGD 4500-5500,"Power BI, Excel, SQL"
19,Reporting Analyst,Insight Pte Ltd,Hybrid,2026-04-15,SGD 4000-5000,"Python, SQL, Airflow, dbt"
20,BI Analyst,ByteBridge,One-North,2026-04-12,SGD 4500-5500,"Python, machine learning, SQL"
21,Business Analyst,Quantive Solutions,Singapore,2026-04-04,SGD 6000-8000,"SQL, Python, Tableau required"
22,Data Engineer,Insight Pte Ltd,Tampines,2026-04-14,SGD 4000-5000,"Power BI, Excel, SQL"
23,Data Engineer,ByteBridge,Jurong East,2026-04-10,SGD 5000-6500,"ETL, data warehousing, Airflow"
24,BI Analyst,ABC Tech,Tampines,2026-04-09,SGD 5500-7000,"Airflow, Python, ETL, PostgreSQL"
25,BI Analyst,CloudNova,Singapore,2026-04-11,SGD 4200-5200,"Power BI, Excel, SQL"
